pl_name,period_day,transit_epoch_bjd,radius_ratio,impact_parameter,inclination_deg,duration_hour,radius_earth,mass_earth,eccentricity,omega_deg
TOI-791 b,139.29931,2459263.45083,0.06924,0.313,89.797,12.366,11.13051784,9.5,0.032,
TOI-791 c,232.0157,2459433.98252,0.0805,0.671,89.695,11.926,12.94637271,18.6,0.028,
