pl_name,mass_earth,mass_jupiter,radius_earth,radius_jupiter,semi_major_axis_au,period_day,transit_epoch_bjd,transit_depth_ppm,radius_ratio,impact_parameter,inclination_deg,duration_hour,a_over_r_catalog,eccentricity,eccentricity_err_plus,eccentricity_err_minus,omega_deg,omega_err_plus_deg,omega_err_minus_deg,rho_true_kg_m3,rho_observed_circular_kg_m3,rho_observed_over_true
TOI-791 b,9.5,0.02989034,11.13051784,0.993,0.602,139.29931,2459263.45083,0.5428,0.06924,0.313,89.797,12.366,,0.032,0.014,0.032,,,,563.4674201359448,664.0266090822846,1.1784649570725463
TOI-791 c,18.6,0.05852214,12.94637271,1.155,0.863,232.0157,2459433.98252,0.678,0.0805,0.671,89.695,11.926,,0.028,0.013,0.028,,,,563.4674201359448,700.7762904744877,1.2436855538256588
