planet,rho_true_kg_m3,rho_observed_circular_kg_m3,rho_observed_over_true,period_day,t0_bjd,duration_hour,p,b,inclination_deg,a_over_r_catalog,e,omega_deg
TOI-791 b,563.4674201359448,664.0266090822846,1.1784649570725463,139.29931,2459263.45083,12.366,0.06924,0.313,89.797,,0.032,
TOI-791 c,563.4674201359448,700.7762904744877,1.2436855538256588,232.0157,2459433.98252,11.926,0.0805,0.671,89.695,,0.028,
