hostname,hd_name,hip_name,tic_id,st_refname,sy_refname,ra,rastr,dec,decstr,glon,glat,elon,elat,sy_icmag,sy_icmagerr1,sy_icmagerr2,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_met,st_meterr1,st_meterr2,st_metlim,st_radv,st_radverr1,st_radverr2,st_radvlim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_mass,st_masserr1,st_masserr2,st_masslim,st_dens,st_denserr1,st_denserr2,st_denslim,st_rad,st_raderr1,st_raderr2,st_radlim,sy_snum,sy_pnum,sy_mnum,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_dist,sy_disterr1,sy_disterr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_umag,sy_umagerr1,sy_umagerr2,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_imag,sy_imagerr1,sy_imagerr2,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_w4magerr1,sy_w4magerr2,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_name,st_metratio,st_spectype,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,gaia_dr2_id,gaia_dr3_id,cb_flag
"TOI-791",,,"TIC 306472057","<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",118.4347574,"07h53m44.34s",-69.7017359,"-69d42m06.25s",282.07748,-20.16764,209.42652,-79.06721,,,,6572.00,199.00,-199.00,0,,,,,,,,,,,,,,,,,4.353810,0.434965,-0.434965,0,,,,,,,,,,,,,1.429620,0.059096,-0.059096,0,1,2,0,9.6312401,0.0521387,-0.0521387,-5.0650800,0.0557811,-0.0557811,8.1918100,0.0506770,-0.0506770,2.9020100,0.0261979,-0.0261979,341.22100000,3.10100000,-3.04600000,11.3680000,0.1270000,-0.1270000,11.0930000,0.0100000,-0.0100000,10.2690000,0.0230000,-0.0230000,10.0610000,0.0220000,-0.0220000,9.9920000,0.0230000,-0.0230000,,,,,,,,,,,,,9.9390000,0.0230000,-0.0230000,9.9530000,0.0200000,-0.0200000,9.8780000,0.0280000,-0.0280000,9.2690000,0.2620000,-0.2620000,,,,11.0873000,0.0004830,-0.0004830,10.7525000,0.0060000,-0.0060000,"TOI-791",,,,,,,,,,"Gaia DR2 5270467966514084224","Gaia DR3 5270467966514084224",0
"TOI-791",,,"TIC 306472057","<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",118.4347574,"07h53m44.34s",-69.7017359,"-69d42m06.25s",282.07748,-20.16764,209.42652,-79.06721,,,,6572.00,199.00,-199.00,0,,,,,,,,,,,,,,,,,4.353810,0.434965,-0.434965,0,,,,,,,,,,,,,1.429620,0.059096,-0.059096,0,1,2,0,9.6312401,0.0521387,-0.0521387,-5.0650800,0.0557811,-0.0557811,8.1918100,0.0506770,-0.0506770,2.9020100,0.0261979,-0.0261979,341.22100000,3.10100000,-3.04600000,11.3680000,0.1270000,-0.1270000,11.0930000,0.0100000,-0.0100000,10.2690000,0.0230000,-0.0230000,10.0610000,0.0220000,-0.0220000,9.9920000,0.0230000,-0.0230000,,,,,,,,,,,,,9.9390000,0.0230000,-0.0230000,9.9530000,0.0200000,-0.0200000,9.8780000,0.0280000,-0.0280000,9.2690000,0.2620000,-0.2620000,,,,11.0873000,0.0004830,-0.0004830,10.7525000,0.0060000,-0.0060000,"TOI-791",,,,,,,,,,"Gaia DR2 5270467966514084224","Gaia DR3 5270467966514084224",0
"TOI-791",,,"TIC 306472057","<a refstr=DRANSFIELD_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.549ag864D/abstract target=ref>Dransfield et al. 2026</a>","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",118.4347574,"07h53m44.34s",-69.7017359,"-69d42m06.25s",282.07748,-20.16764,209.42652,-79.06721,,,,6294.00,128.00,-128.00,0,-0.1400,0.1400,-0.1400,0,6.23800,0.94900,-0.94900,0,44.5800,2.2800,-2.2800,0,,,,,3.710000,0.360000,-0.360000,0,,,,,1.280000,0.080000,-0.080000,0,,,,,1.474000,0.047000,-0.047000,0,1,2,0,9.6312401,0.0521387,-0.0521387,-5.0650800,0.0557811,-0.0557811,8.1918100,0.0506770,-0.0506770,2.9020100,0.0261979,-0.0261979,341.22100000,3.10100000,-3.04600000,11.3680000,0.1270000,-0.1270000,11.0930000,0.0100000,-0.0100000,10.2690000,0.0230000,-0.0230000,10.0610000,0.0220000,-0.0220000,9.9920000,0.0230000,-0.0230000,,,,,,,,,,,,,9.9390000,0.0230000,-0.0230000,9.9530000,0.0200000,-0.0200000,9.8780000,0.0280000,-0.0280000,9.2690000,0.2620000,-0.2620000,,,,11.0873000,0.0004830,-0.0004830,10.7525000,0.0060000,-0.0060000,"TOI-791","[Fe/H]","F7",,,,,,,,"Gaia DR2 5270467966514084224","Gaia DR3 5270467966514084224",0
"TOI-791",,,"TIC 306472057","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",118.4347574,"07h53m44.34s",-69.7017359,"-69d42m06.25s",282.07748,-20.16764,209.42652,-79.06721,,,,6727.00,162.23,-95.90,0,,,,,,,,,,,,,0.57642,0.02029,-0.02493,0,4.282970,0.109294,-0.071876,0,,,,,1.430000,0.332314,-0.162167,0,0.689992,0.186107,-0.140879,0,1.429620,0.067001,-0.051190,0,1,2,0,9.6312401,0.0521387,-0.0521387,-5.0650800,0.0557811,-0.0557811,8.1918100,0.0506770,-0.0506770,2.9020100,0.0261979,-0.0261979,341.22100000,3.10100000,-3.04600000,11.3680000,0.1270000,-0.1270000,11.0930000,0.0100000,-0.0100000,10.2690000,0.0230000,-0.0230000,10.0610000,0.0220000,-0.0220000,9.9920000,0.0230000,-0.0230000,,,,,,,,,,,,,9.9390000,0.0230000,-0.0230000,9.9530000,0.0200000,-0.0200000,9.8780000,0.0280000,-0.0280000,9.2690000,0.2620000,-0.2620000,,,,11.0873000,0.0004830,-0.0004830,10.7525000,0.0060000,-0.0060000,"TOI-791",,,,,,,,,,"Gaia DR2 5270467966514084224","Gaia DR3 5270467966514084224",0
