    0.927631382618424039E-01    0.229743162037479442E+04    0.183917800184170734E-01    0.130178029619999990E+03    0.558261008157199976E+05    0.791116075964592436E+00    0.153251757028697644E+00    0.550450253160054635E+05    0.551752107589040024E+05    0.553053919342545996E+05    0.554355737165292303E+05    0.556959328184849001E+05    0.558261042726846717E+05    0.559562851842113014E+05    0.560864504105638771E+05    0.562166290543493742E+05    0.563467874073853309E+05    0.120291543372321583E+06
    0.942132755910399800E-01    0.218546795041188579E+04    0.218787933284245978E+00    0.130178029619999990E+03    0.558261008157199976E+05    0.680670830878935651E+00    0.141864983750925489E+00    0.550450231444199817E+05    0.551752051004888926E+05    0.553053930267127289E+05    0.554355736333796449E+05    0.556959310543358588E+05    0.558261025481684628E+05    0.559562852205711679E+05    0.560864502344273496E+05    0.562166303923865125E+05    0.563467914185123154E+05    0.120292969359007242E+06
    0.951561919742154178E-01    0.230071097875349778E+04    0.197453509051617654E+00    0.130178029619999990E+03    0.558261008157199976E+05    0.355557349498394903E+00    0.312413238746662714E+00    0.550450254024616152E+05    0.551752099361359942E+05    0.553053869272665543E+05    0.554355722205285492E+05    0.556959338382525966E+05    0.558261052448951741E+05    0.559562852397341412E+05    0.560864495485578300E+05    0.562166302752161209E+05    0.563467889973728234E+05    0.120293024277583580E+06
    0.946126058695931915E-01    0.240011769607285623E+04    0.247844287297427877E-01    0.130178029619999990E+03    0.558261008157199976E+05    0.418883972984975150E+00    0.285256133046013660E+00    0.550450251913321190E+05    0.551752072992546091E+05    0.553053874154811856E+05    0.554355742787116542E+05    0.556959312108567538E+05    0.558261046849254635E+05    0.559562833867227528E+05    0.560864490989933765E+05    0.562166311427362380E+05    0.563467870809302985E+05    0.120293979590097384E+06
    0.949623442980004756E-01    0.228927523823728143E+04    0.207981561779537444E+00    0.130178029619999990E+03    0.558261008157199976E+05    0.300676716117575626E+00    0.460022833812070764E+00    0.550450233510474864E+05    0.551752103723255859E+05    0.553053922805059701E+05    0.554355734862761528E+05    0.556959311507884559E+05    0.558261029515951013E+05    0.559562817492435643E+05    0.560864494371794062E+05    0.562166294713177267E+05    0.563467899127636629E+05    0.120294386688241255E+06
    0.945050373861037324E-01    0.203295921046576723E+04    0.291228660565664543E+00    0.130178029619999990E+03    0.558261008157199976E+05    0.672144886624170157E+00    0.135967692503191351E+00    0.550450237249854399E+05    0.551752100909925575E+05    0.553053905132274449E+05    0.554355728731650015E+05    0.556959312792125711E+05    0.558261043273167816E+05    0.559562839946052190E+05    0.560864499940565947E+05    0.562166276860333892E+05    0.563467902851140825E+05    0.120294566310254217E+06
    0.951785451557207035E-01    0.237250189790184459E+04    0.130384244614748707E+00    0.130178029619999990E+03    0.558261008157199976E+05    0.362956618904138995E+00    0.321707773999563962E+00    0.550450246301734733E+05    0.551752063034378443E+05    0.553053912994994826E+05    0.554355747913754094E+05    0.556959308069472900E+05    0.558261038608919553E+05    0.559562856350003131E+05    0.560864502741256438E+05    0.562166304243843042E+05    0.563467930085797925E+05    0.120294771485680976E+06
    0.946525257854240604E-01    0.243869217929872275E+04    0.818062218055954082E-01    0.130178029619999990E+03    0.558261008157199976E+05    0.289168717901012895E+00    0.415685014383474105E+00    0.550450233431197485E+05    0.551752091559126711E+05    0.553053907700582931E+05    0.554355720330794647E+05    0.556959300503322884E+05    0.558261050258468385E+05    0.559562836289207771E+05    0.560864497583291450E+05    0.562166301925819062E+05    0.563467872440189240E+05    0.120294868795804854E+06
    0.944222394094970663E-01    0.206728084471297234E+04    0.276981562119672842E+00    0.130178029619999990E+03    0.558261008157199976E+05    0.570205694342159952E+00    0.216268636190523916E+00    0.550450240805009089E+05    0.551752048562465134E+05    0.553053884886716769E+05    0.554355739899056789E+05    0.556959304955310508E+05    0.558261040122822087E+05    0.559562846297170108E+05    0.560864510401241278E+05    0.562166281302870921E+05    0.563467894846646523E+05    0.120295179182847045E+06
    0.943453908707840710E-01    0.218568106535458446E+04    0.218020490494621855E+00    0.130178029619999990E+03    0.558261008157199976E+05    0.565115534938613773E+00    0.227716438758251982E+00    0.550450237639048646E+05    0.551752042152363647E+05    0.553053895709004137E+05    0.554355743082181943E+05    0.556959313193115013E+05    0.558261037350342958E+05    0.559562855112377001E+05    0.560864494094802940E+05    0.562166295211416145E+05    0.563467875101504178E+05    0.120295284135182665E+06
    0.961027141875992336E-01    0.204079817924027338E+04    0.330718852289810850E+00    0.130178029619999990E+03    0.558261008157199976E+05    0.422438102161523665E+00    0.210466657777940352E+00    0.550450242171330392E+05    0.551752084792433961E+05    0.553053938551782339E+05    0.554355734283440252E+05    0.556959303571657074E+05    0.558261054843965976E+05    0.559562830823951954E+05    0.560864507424696712E+05    0.562166297705839825E+05    0.563467903524627836E+05    0.120295337490252467E+06
    0.955804014160628601E-01    0.207919387107379316E+04    0.318392571634813770E+00    0.130178029619999990E+03    0.558261008157199976E+05    0.307043218065519763E+00    0.399891512007896077E+00    0.550450264540236822E+05    0.551752080989139358E+05    0.553053924588575101E+05    0.554355731680677563E+05    0.556959323104695723E+05    0.558261030539872881E+05    0.559562856438645540E+05    0.560864485608602845E+05    0.562166289408835291E+05    0.563467934294012957E+05    0.120295426096479772E+06
    0.964097875417471717E-01    0.210077672444666769E+04    0.336918225688157880E+00    0.130178029619999990E+03    0.558261008157199976E+05    0.195382051741653462E+00    0.573313680062676467E+00    0.550450250230238671E+05    0.551752044795127586E+05    0.553053917979546677E+05    0.554355712004959423E+05    0.556959314804697133E+05    0.558261039446556751E+05    0.559562839959807097E+05    0.560864489440145044E+05    0.562166287298848110E+05    0.563467881879338165E+05    0.120295433022889018E+06
    0.947936688887101864E-01    0.230085006445647878E+04    0.185939208998614269E+00    0.130178029619999990E+03    0.558261008157199976E+05    0.362466098298755979E+00    0.344722622795504252E+00    0.550450249417124433E+05    0.551752088729725001E+05    0.553053899595638068E+05    0.554355740323331411E+05    0.556959307906576942E+05    0.558261056119804125E+05    0.559562825183652094E+05    0.560864513718518356E+05    0.562166284317602185E+05    0.563467924697152121E+05    0.120295545344042723E+06
    0.938540351257947103E-01    0.227490824480503670E+04    0.171169484763434271E+00    0.130178029619999990E+03    0.558261008157199976E+05    0.460716324389835674E+00    0.291441648217154126E+00    0.550450254392098868E+05    0.551752061285918753E+05    0.553053932191045387E+05    0.554355746384719096E+05    0.556959303921543906E+05    0.558261054138849868E+05    0.559562823441783767E+05    0.560864503829303721E+05    0.562166296296114306E+05    0.563467890844273061E+05    0.120295858240410962E+06
    0.954601534167616450E-01    0.227396840467238417E+04    0.235044228763276075E+00    0.130178029619999990E+03    0.558261008157199976E+05    0.258210956010912485E+00    0.474001376776927719E+00    0.550450238036309383E+05    0.551752093601443194E+05    0.553053882500936597E+05    0.554355729577052189E+05    0.556959322605861962E+05    0.558261021519502174E+05    0.559562849704731343E+05    0.560864516459033621E+05    0.562166309754745598E+05    0.563467903701845353E+05    0.120295902664366062E+06
    0.975197684139310628E-01    0.173255180661746022E+04    0.460866507592247121E+00    0.130178029619999990E+03    0.558261008157199976E+05    0.221706710520783667E+00    0.645108057470814011E+00    0.550450245440898216E+05    0.551752075976133128E+05    0.553053897146301242E+05    0.554355744165541764E+05    0.556959327339897281E+05    0.558261055282661619E+05    0.559562855695262551E+05    0.560864509909429544E+05    0.562166308391275670E+05    0.563467894982780272E+05    0.120296007140173955E+06
