# Transit observable posteriors (photo-ring pipeline, step 1)
# Derived from a TTV-fit MCMC posterior via asterodensity profiling (Zuluaga+2015 Eq.1-4)
#
# Columns:
#   p        : Rp/R*          [dimensionless]
#   delta    : transit depth  [dimensionless = (Rp/R*)^2]
#   aR       : a/R*           [dimensionless]
#   rho_obs  : stellar density [kg/m^3]
#   P        : orbital period [days]
#   b        : impact param   [R*]
#   i_orb    : inclination    [degrees]
#   T14      : total duration [hours]
#   T23      : full duration  [hours]
#            p         delta            aR       rho_obs             P             b         i_orb           T14           T23
0.09430876 0.00889414 126.47687920 2258.38122860 130.17802962 0.19114085 89.91341051 8.47238047 6.96110952
0.09507518 0.00903929 126.03771339 2234.93748215 130.17802962 0.23948538 89.89113172 8.43153167 6.88569738
0.09632198 0.00927792 126.48420107 2258.77347119 130.17802962 0.27081169 89.87732556 8.35286802 6.77872069
0.09487397 0.00900107 124.00862621 2128.72480899 130.17802962 0.26295686 89.87850579 8.52346769 6.94565539
0.09461704 0.00895238 125.79884430 2222.25446063 130.17802962 0.22676967 89.89671644 8.46574156 6.92931494
0.09527147 0.00907665 124.34882061 2146.29218558 130.17802962 0.28189130 89.87011380 8.46453642 6.87551210
0.09445614 0.00892196 125.46324465 2204.51661827 130.17802962 0.21557583 89.90155211 8.50539129 6.97151585
0.09551066 0.00912229 125.83583301 2224.21526947 130.17802962 0.25423415 89.88424161 8.42162746 6.86010693
0.09450834 0.00893183 129.70069738 2435.51476269 130.17802962 0.05537878 89.97553621 8.38155093 6.92996464
0.09597820 0.00921182 122.33792851 2043.84143896 130.17802962 0.31949105 89.85036930 8.52240355 6.87465374
0.09647079 0.00930661 123.11819466 2083.19799297 130.17802962 0.33451903 89.84432397 8.43462242 6.77970179
0.09581387 0.00918030 123.35521726 2095.25265813 130.17802962 0.29461663 89.86315694 8.50927273 6.89178525
0.09430805 0.00889401 126.41047268 2254.82581562 130.17802962 0.19165034 89.91313410 8.47611363 6.96390561
0.09434931 0.00890179 129.76151633 2438.94253711 130.17802962 0.02320595 89.98975349 8.38526145 6.93864686
0.09496234 0.00901785 125.48032100 2205.41688740 130.17802962 0.23297932 89.89361886 8.47946218 6.93115423
0.09471415 0.00897077 129.90144359 2446.84108924 130.17802962 0.03939654 89.98262332 8.37547704 6.92409017
0.09411506 0.00885764 129.62505920 2431.25625469 130.17802962 0.02881895 89.98726169 8.39126713 6.94651213
0.09561906 0.00914300 125.87088506 2226.07447819 130.17802962 0.24474995 89.88859101 8.43768630 6.87881037
0.09618141 0.00925086 124.59545257 2159.08832201 130.17802962 0.30041813 89.86185124 8.41455611 6.80393680
0.09510781 0.00904550 126.35904301 2252.07483052 130.17802962 0.22308548 89.89884489 8.43824196 6.90204495
0.09642485 0.00929775 120.36007293 1946.30616965 130.17802962 0.37868726 89.81973077 8.50196712 6.77866023
0.09373247 0.00878578 127.51405368 2314.39770147 130.17802962 0.12539318 89.94365718 8.47392246 7.00009337
0.09386010 0.00880972 129.23238193 2409.22787775 130.17802962 0.03296550 89.98538459 8.41390065 6.96849431
0.09514010 0.00905164 125.91122213 2228.21529336 130.17802962 0.22350427 89.89829455 8.46782615 6.92548812
0.09449431 0.00892917 122.19926202 2036.89940869 130.17802962 0.30161403 89.85858157 8.56249905 6.94848343
0.09460304 0.00894974 124.47170790 2152.66167346 130.17802962 0.27170729 89.87492987 8.47191887 6.90047062
0.09608418 0.00923217 121.87254212 2020.60509165 130.17802962 0.35172636 89.83464311 8.47124026 6.79477973
0.09411612 0.00885784 127.74920544 2327.22543898 130.17802962 0.13088085 89.94129966 8.45629281 6.97808819
0.09470877 0.00896975 123.07664629 2081.08967078 130.17802962 0.28699349 89.86639601 8.53623387 6.93772264
0.09573434 0.00916506 130.84847636 2500.74749568 130.17802962 0.02200945 89.99036253 8.32632038 6.87070356
0.09482366 0.00899153 129.12091107 2402.99893280 130.17802962 0.10820668 89.95198464 8.39112849 6.92171709
0.09331418 0.00870754 125.17447500 2189.32969896 130.17802962 0.18732244 89.91425736 8.55784085 7.04809698
0.09597088 0.00921041 124.72179474 2165.66305504 130.17802962 0.29139353 89.86613699 8.42446376 6.82375075
0.09358802 0.00875872 126.45626937 2257.27737632 130.17802962 0.16354599 89.92589931 8.50367059 7.01134369
0.09402129 0.00884000 128.98619794 2395.48555907 130.17802962 0.05433216 89.97586561 8.42462534 6.97260456
0.09517989 0.00905921 123.57696438 2106.57245365 130.17802962 0.28324898 89.86867306 8.51372669 6.91564112
0.09559510 0.00913842 124.33993077 2145.83189549 130.17802962 0.28594639 89.86823593 8.45911844 6.86255593
0.09687594 0.00938495 118.09800478 1838.61802754 130.17802962 0.42890226 89.79191568 8.50139185 6.69283020
0.09493785 0.00901320 125.73280068 2218.75628784 130.17802962 0.25221409 89.88506728 8.42766870 6.87510578
0.09469880 0.00896786 123.85395737 2120.76963085 130.17802962 0.26955616 89.87530118 8.51937632 6.93949373
0.09643225 0.00929918 119.38705641 1899.48367745 130.17802962 0.38356999 89.81591824 8.55624905 6.81491913
0.09686783 0.00938338 115.87651725 1736.80129324 130.17802962 0.45630715 89.77437584 8.56057014 6.68896508
0.09479460 0.00898602 127.72369611 2325.83159646 130.17802962 0.16546133 89.92577541 8.42652013 6.92945956
0.09344576 0.00873211 127.00203148 2286.62967972 130.17802962 0.10350940 89.95330269 8.52386250 7.05239202
0.09746582 0.00949959 121.61152029 2007.64992010 130.17802962 0.38368409 89.81923164 8.40841045 6.68048598
0.09718941 0.00944578 117.38868448 1805.68728479 130.17802962 0.42553907 89.79229986 8.56769321 6.74555945
0.09506453 0.00903727 126.48129721 2258.61790190 130.17802962 0.22130017 89.89975140 8.43264659 6.89928000
0.09439991 0.00891134 127.34983861 2305.46763280 130.17802962 0.16917983 89.92388453 8.44364796 6.94747854
0.09459059 0.00894738 130.20868389 2464.24384393 130.17802962 0.02147822 89.99054893 8.35857643 6.91329981
0.09790103 0.00958461 118.15740932 1841.39395607 130.17802962 0.44272780 89.78531610 8.45616532 6.61545009
0.09372193 0.00878380 125.98870431 2232.33136574 130.17802962 0.18729894 89.91482218 8.50583172 6.99929578
0.09562659 0.00914444 126.99402312 2286.19714326 130.17802962 0.23186640 89.89538899 8.38560423 6.84547112
0.09441977 0.00891509 125.95595715 2230.59112626 130.17802962 0.19441477 89.91156313 8.50368581 6.98337105
0.09457655 0.00894472 124.30942367 2144.25282807 130.17802962 0.26069889 89.87984051 8.50484128 6.93679165
0.09496385 0.00901813 123.40999389 2098.04512632 130.17802962 0.28176356 89.86918501 8.52664002 6.93076395
0.09468315 0.00896490 129.48788618 2423.54594077 130.17802962 0.10558872 89.95327912 8.36823529 6.90557804
0.09382956 0.00880399 127.35199490 2305.58474375 130.17802962 0.09757492 89.95610095 8.50772668 7.03516843
0.09345993 0.00873476 128.16350952 2349.94125889 130.17802962 0.05656923 89.97471060 8.47346199 7.02066291
0.09593580 0.00920368 120.99963242 1977.49769346 130.17802962 0.36062968 89.82923428 8.50592079 6.81375721
0.09503446 0.00903155 120.84180571 1969.76969387 130.17802962 0.34191653 89.83788392 8.56133377 6.89561279
0.09569738 0.00915799 126.62062175 2266.09001842 130.17802962 0.22834710 89.89667298 8.41683978 6.87235612
