# Kepler-51 transit observable posteriors
# Derived from TTV-fit MCMC posterior (Kipping D.)
# Method: Kipping+2014 asterodensity profiling Eq.1-4
#
# Columns:
#   p        : Rp/R*          [dimensionless]
#   delta    : transit depth  [dimensionless = (Rp/R*)^2]
#   aR       : a/R*           [dimensionless]
#   rho_obs  : stellar density [kg/m^3]
#   P        : orbital period [days]
#   b        : impact param   [R*]
#   i_orb    : inclination    [degrees]
#   T14      : total duration [hours]
#   T23      : full duration  [hours]
#            p         delta            aR       rho_obs             P             b         i_orb           T14           T23
0.05519244 0.00304621 112.40686034 3691.09026375 85.31620000 0.93798854 89.52188498 2.80259864 0.65701888
0.04460412 0.00198953 112.65964380 3716.04816333 85.31620000 0.93921683 89.52233309 2.64536824 1.01292305
0.05244910 0.00275091 144.96763294 7917.52340894 85.31620000 0.90013704 89.64423517 2.45190405 1.33075304
0.04703731 0.00221251 124.12588297 4970.07869745 85.31620000 0.92907736 89.57113934 2.53522877 1.11332754
0.04974284 0.00247435 143.67847624 7708.17122742 85.31620000 0.90435110 89.63936252 2.41798362 1.32364388
0.04719002 0.00222690 108.50095859 3319.53260137 85.31620000 0.94239313 89.50234699 2.74304041 0.84405695
0.04786665 0.00229122 115.38110142 3991.90552147 85.31620000 0.92187936 89.54220962 2.81411529 1.34508570
0.05087075 0.00258783 117.03623654 4166.17258626 85.31620000 0.93954681 89.54003438 2.62152538 0.74920995
0.04777239 0.00228220 111.49566779 3602.05377348 85.31620000 0.94580772 89.51395923 2.63568437 0.64530690
0.06024365 0.00362930 118.01506190 4271.57984297 85.31620000 0.93322740 89.54691759 2.77910485 0.61074224
0.05339124 0.00285062 118.22784781 4294.72701963 85.31620000 0.93891395 89.54497715 2.63284667 0.66405161
0.05544651 0.00307432 104.14007951 2935.14747933 85.31620000 0.94415214 89.48053935 2.95258438 0.17232055
0.05437736 0.00295690 136.38212428 6592.47611606 85.31620000 0.91966796 89.61363344 2.46447174 1.05154191
0.05076367 0.00257695 135.85745064 6516.68299642 85.31620000 0.90164127 89.61974394 2.58866894 1.42393142
0.04686191 0.00219604 134.95440109 6387.59495852 85.31620000 0.92695746 89.60645101 2.34956986 1.07151000
0.04477095 0.00200444 138.88041982 6961.44305384 85.31620000 0.91370746 89.62304291 2.37772962 1.30736191
0.05141563 0.00264357 132.72821671 6076.67474255 85.31620000 0.91213200 89.60625008 2.56809898 1.27891918
0.04850385 0.00235262 113.96930334 3847.15685536 85.31620000 0.93604807 89.52941533 2.70173653 0.97657478
0.05238232 0.00274391 113.66371187 3816.29305034 85.31620000 0.94246387 89.52491591 2.68520349 0.56596662
0.05018776 0.00251881 104.20728211 2940.83338352 85.31620000 0.94930384 89.47804170 2.80921480 0.19435298
0.05884953 0.00346327 134.35793443 6303.27374469 85.31620000 0.91333010 89.61051527 2.59880961 1.10187507
0.05527081 0.00305486 136.11586102 6553.93933330 85.31620000 0.91781454 89.61365782 2.49373489 1.07211601
0.04577252 0.00209512 101.52238011 2719.32794381 85.31620000 0.95112442 89.46320987 2.79116327 0.49366618
0.05601939 0.00313817 130.13238489 5727.06853062 85.31620000 0.91395290 89.59759383 2.64969122 1.18302697
0.05455478 0.00297622 158.26783639 10302.77484558 85.31620000 0.89243092 89.67692238 2.31373098 1.28547026
0.04903381 0.00240431 123.72322625 4921.86754227 85.31620000 0.92724214 89.57059349 2.58456552 1.11203981
0.05669289 0.00321408 152.86810479 9283.82310997 85.31620000 0.88188773 89.66946195 2.48200885 1.42754866
0.04919816 0.00242046 119.61159626 4447.29636547 85.31620000 0.94008678 89.54967945 2.53873643 0.77564561
0.04962803 0.00246294 111.50886847 3603.33333493 85.31620000 0.94743438 89.51318092 2.64063322 0.43643614
0.04329091 0.00187410 112.76505685 3726.48898992 85.31620000 0.94651747 89.51907005 2.53640410 0.80500886
0.05848790 0.00342083 115.33948351 3987.58744404 85.31620000 0.93044785 89.53778783 2.85176459 0.81327669
0.05110930 0.00261216 135.80477645 6509.10605638 85.31620000 0.91144317 89.61546096 2.51272454 1.26676162
0.05434782 0.00295369 113.53468392 3803.31134250 85.31620000 0.92777016 89.53179148 2.87556713 1.05076394
0.05034261 0.00253438 134.81532858 6367.86776857 85.31620000 0.91419585 89.61146877 2.50033716 1.24293534
0.05244313 0.00275028 127.38786415 5372.30154112 85.31620000 0.92643131 89.58331139 2.55500749 1.01803790
0.04894738 0.00239585 106.09058434 3103.17835500 85.31620000 0.95012807 89.48686251 2.73067628 0.25757815
0.04593179 0.00210973 127.84853750 5430.79620598 85.31620000 0.91802572 89.58857996 2.55517738 1.32427996
0.04924070 0.00242465 115.98482984 4054.89657895 85.31620000 0.94588506 89.53273352 2.55187538 0.54032177
0.04353701 0.00189547 125.21730060 5102.33799561 85.31620000 0.93989411 89.56992787 2.36004376 0.92267224
0.04690532 0.00220011 125.75906099 5168.85168478 85.31620000 0.93204258 89.57535787 2.47100326 1.03248760
0.04744957 0.00225146 116.72735508 4133.27353934 85.31620000 0.93156744 89.54273401 2.67404224 1.11025309
0.04650838 0.00216303 158.68119366 10383.71092355 85.31620000 0.90618622 89.67279722 2.15008475 1.21828520
0.04606497 0.00212198 149.65123342 8709.97913852 85.31620000 0.90425989 89.65379109 2.29044982 1.32323196
0.06134761 0.00376353 130.55848710 5783.51064874 85.31620000 0.92692600 89.59321377 2.58090760 0.73839318
0.04317750 0.00186430 117.15549333 4178.92122334 85.31620000 0.95289023 89.53397669 2.36181799 0.48211456
0.05060249 0.00256061 130.33073885 5753.29687747 85.31620000 0.92308588 89.59419115 2.50888440 1.11004336
0.04492741 0.00201847 130.41340207 5764.25103408 85.31620000 0.92026346 89.59568841 2.47374728 1.27693231
0.05909396 0.00349210 117.22854830 4186.74368226 85.31620000 0.93332656 89.54382922 2.78323013 0.66268117
0.04593643 0.00211016 145.54374690 8012.29381490 85.31620000 0.90378861 89.64420590 2.35757453 1.36864062
0.05001320 0.00250132 130.68057379 5799.75050038 85.31620000 0.93225379 89.59125783 2.40975427 0.91121713
0.04884614 0.00238595 109.96583895 3455.80786364 85.31620000 0.95080846 89.50459169 2.62437863 0.15192031
0.05399656 0.00291563 132.79619219 6086.01585624 85.31620000 0.89112663 89.61551474 2.76256401 1.55841036
0.05573894 0.00310683 150.97396913 8942.98354178 85.31620000 0.88365834 89.66464296 2.49401257 1.43688885
0.04858687 0.00236068 146.41019289 8156.24290604 85.31620000 0.86995249 89.65955308 2.60614316 1.71475550
0.05051376 0.00255164 112.72333842 3722.35457729 85.31620000 0.94611693 89.51909565 2.63990346 0.46210303
0.06092853 0.00371229 135.37278663 6447.18777993 85.31620000 0.92369839 89.60904676 2.51267827 0.81476375
0.04873525 0.00237512 118.57630473 4332.81303186 85.31620000 0.93713061 89.54717607 2.58777032 0.89802789
0.04729086 0.00223643 111.49364865 3601.85808237 85.31620000 0.94284874 89.51547108 2.66525693 0.79923452
0.04232980 0.00179181 128.34976593 5494.92103619 85.31620000 0.93073139 89.58451465 2.38292002 1.14537004
0.04729912 0.00223721 113.10101490 3759.89501874 85.31620000 0.94100771 89.52328993 2.64931359 0.85755940
0.05561680 0.00309323 119.78762534 4466.96016579 85.31620000 0.92452769 89.55778353 2.77221498 1.04816315
0.05611793 0.00314922 117.12314258 4175.46033725 85.31620000 0.92173285 89.54909042 2.86904461 1.13123804
0.05683203 0.00322988 106.92817452 3177.25938142 85.31620000 0.94037865 89.49610640 2.93972684 0.44182898
0.04799405 0.00230343 113.26479901 3776.25304872 85.31620000 0.93669475 89.52616110 2.70462121 0.97858636
0.04830207 0.00233309 133.17768529 6138.61787768 85.31620000 0.91698445 89.60549131 2.48626369 1.24649006
0.04503775 0.00202840 112.11069208 3661.99134498 85.31620000 0.94958952 89.51469283 2.53674802 0.58810561
0.04687204 0.00219699 109.66846173 3427.84730970 85.31620000 0.94814834 89.50463812 2.63762425 0.57829339
0.04619419 0.00213390 133.66082432 6205.66916001 85.31620000 0.93111701 89.60085906 2.32612105 1.00844452
0.04628205 0.00214203 107.63686376 3240.85289326 85.31620000 0.94493927 89.49699642 2.72023241 0.78178353
0.05926278 0.00351208 125.27223291 5109.05606556 85.31620000 0.90587840 89.58567465 2.85652642 1.32006185
0.05242464 0.00274834 132.42958631 6035.75051368 85.31620000 0.92268462 89.60079644 2.49144887 1.06191185
0.05276758 0.00278442 110.28458377 3485.94586282 85.31620000 0.94420239 89.50945571 2.75186012 0.44741769
0.04753778 0.00225984 114.94186823 3946.48964930 85.31620000 0.94318574 89.52983913 2.58455825 0.75196911
0.05498422 0.00302326 148.39105043 8491.79184994 85.31620000 0.89616541 89.65397638 2.44506471 1.31727238
0.05388459 0.00290355 117.76666778 4244.66454176 85.31620000 0.94502230 89.54022330 2.58178825 0.25163929
0.05098623 0.00259960 143.44292174 7670.32173152 85.31620000 0.88847030 89.64511373 2.55100425 1.51554187
0.04988218 0.00248823 124.39116134 5002.01258849 85.31620000 0.94739350 89.56361711 2.37068508 0.37673568
0.05697491 0.00324614 140.91950941 7272.59797456 85.31620000 0.89565337 89.63583819 2.59589808 1.36503352
0.05140092 0.00264206 130.90066380 5829.10340421 85.31620000 0.88465239 89.61278092 2.82912391 1.70483150
0.04659047 0.00217067 143.02229646 7603.04312943 85.31620000 0.90732323 89.63651723 2.37725621 1.33452305
0.05893587 0.00347344 126.32889838 5239.43358828 85.31620000 0.89622250 89.59351979 2.91008130 1.48091673
