cos_i_ring,theta_ring_deg,p_true,b_true,PR
0.13375,77.25,0.08659717689766307,0.613718812118532,-1.4013811566216559
0.13375,78.0,0.08659717689766307,0.6131065702268615,-1.4103822662228849
0.13375,78.75,0.08659717689766307,0.6125303617163057,-1.4188343434317865
0.146125,76.5,0.08579251527307688,0.6146232204345916,-1.3890755904292753
0.146125,78.0,0.08579251527307688,0.6148284928710438,-1.3879217795900602
0.146125,78.75,0.08579251527307688,0.6142665895464199,-1.3962097838348118
0.146125,79.5,0.08579251527307688,0.6137398549931106,-1.4039627967143964
0.146125,80.25,0.08579251527307688,0.6132485371214216,-1.4111803806794092
0.146125,81.0,0.08579251527307688,0.6127928551920448,-1.417862312344837
0.15850000000000003,75.0,0.08500589202678836,0.61299169409228,-1.4099933548317143
0.15850000000000003,79.5,0.08500589202678836,0.6153957399489713,-1.3822855097056477
0.15850000000000003,80.25,0.08500589202678836,0.6149170515398693,-1.3893554006906925
0.15850000000000003,81.0,0.08500589202678836,0.6144729351390583,-1.395903020122565
0.15850000000000003,81.75,0.08500589202678836,0.6140636154907381,-1.4019277157218775
0.15850000000000003,82.5,0.08500589202678836,0.6136892908958206,-1.407429023876142
0.15850000000000003,83.25,0.08500589202678836,0.6133501355612008,-1.4124066312809003
0.15850000000000003,84.0,0.08500589202678836,0.6130463016371597,-1.4168603418703674
0.17087500000000003,74.25,0.08423697469825481,0.6138331290375032,-1.3985973280316035
0.17087500000000003,81.75,0.08423697469825481,0.6156642021154874,-1.3809062543301434
0.17087500000000003,82.5,0.08423697469825481,0.615299745815784,-1.3862905983584612
0.17087500000000003,83.25,0.08423697469825481,0.6149694475559885,-1.3911637543848074
0.17087500000000003,84.0,0.08423697469825481,0.6146734814993391,-1.3955251018830992
0.17087500000000003,84.75,0.08423697469825481,0.6144119988754433,-1.3993741605078578
0.17087500000000003,85.5,0.08423697469825481,0.6141851295982813,-1.4027105635971149
0.17087500000000003,86.25,0.08423697469825481,0.6139929836428157,-1.4055340357255521
0.17087500000000003,87.0,0.08423697469825481,0.6138356522005375,-1.4078443739352375
0.17087500000000003,87.75,0.08423697469825481,0.6137132086308256,-1.4096414323377475
0.17087500000000003,88.5,0.08423697469825481,0.6136257092216755,-1.4109251098371942
0.17087500000000003,89.25,0.08423697469825481,0.6135731937706399,-1.411695340778139
0.17087500000000003,90.0,0.08423697469825481,0.6135556859941104,-1.411952088369186
0.18325000000000002,72.75,0.08348544208513922,0.6124513574719153,-1.4162091857009818
0.18325000000000002,73.5,0.08348544208513922,0.6146984716572054,-1.3868557169028242
0.18325000000000002,85.5,0.08348544208513922,0.6157383469458453,-1.3822486289009683
