# rho_grid_gcc rho_cdf
7.976015156481629509e-01 1.775607158658545242e-05
7.977006945970981366e-01 1.779734144055113493e-05
7.977998735460333224e-01 1.783869622272844668e-05
7.978990524949685081e-01 1.788013625933405502e-05
7.979982314439036939e-01 1.792166187433053031e-05
7.980974103928388796e-01 1.796327338941017778e-05
7.981965893417739544e-01 1.800497112397899470e-05
7.982957682907091401e-01 1.804675539514107146e-05
7.983949472396443259e-01 1.808862651768269444e-05
7.984941261885795116e-01 1.813058480405711632e-05
7.985933051375146974e-01 1.817263056436932986e-05
7.986924840864498831e-01 1.821476410636104154e-05
7.987916630353850689e-01 1.825698573539583490e-05
7.988908419843202546e-01 1.829929575444462191e-05
7.989900209332553294e-01 1.834169446407110112e-05
7.990891998821905151e-01 1.838418216241782566e-05
7.991883788311257009e-01 1.842675914519184433e-05
7.992875577800608866e-01 1.846942570565111518e-05
7.993867367289960724e-01 1.851218213459085817e-05
7.994859156779312581e-01 1.855502872033017875e-05
7.995850946268664439e-01 1.859796574869881014e-05
7.996842735758016296e-01 1.864099350302422149e-05
7.997834525247367043e-01 1.868411226411873283e-05
7.998826314736718901e-01 1.872732231026716189e-05
7.999818104226070759e-01 1.877062391721414915e-05
8.000809893715422616e-01 1.881401735815223497e-05
8.001801683204774474e-01 1.885750290370983513e-05
8.002793472694126331e-01 1.890108082193954161e-05
8.003785262183478189e-01 1.894475137830654873e-05
8.004777051672830046e-01 1.898851483567738760e-05
8.005768841162180793e-01 1.903237145430875546e-05
8.006760630651532651e-01 1.907632149183681596e-05
8.007752420140884508e-01 1.912036520326625212e-05
8.008744209630236366e-01 1.916450284095994603e-05
8.009735999119588223e-01 1.920873465462876370e-05
8.010727788608940081e-01 1.925306089132143466e-05
8.011719578098291938e-01 1.929748179541474336e-05
8.012711367587643796e-01 1.934199760860395425e-05
8.013703157076994543e-01 1.938660856989333863e-05
8.014694946566346401e-01 1.943131491558719605e-05
8.015686736055698258e-01 1.947611687928057765e-05
8.016678525545050116e-01 1.952101469185075819e-05
8.017670315034401973e-01 1.956600858144862682e-05
8.018662104523753831e-01 1.961109877349037940e-05
8.019653894013105688e-01 1.965628549064939713e-05
8.020645683502456436e-01 1.970156895284832848e-05
8.021637472991808293e-01 1.974694937725159807e-05
8.022629262481160151e-01 1.979242697825766133e-05
8.023621051970512008e-01 1.983800196749194709e-05
