,median,err_minus,err_plus
true planet radius [Rj],0.6523239588695399,0.030128863802613703,0.2089518481732041
outer ring radius [Rj],1.480123062674986,0.06836239196813043,0.4741117435050002
planet density with rings [g/cm3],3.070541840978425,1.6737375627269975,0.5658790723774509
literature ringless density [g/cm3],0.862880985800317,0.053660369554302534,0.05422690621984294
true impact parameter,0.6141044314495313,0.0010452435887352562,0.0010163658865209868
